"","ONSET","FREQ_AGE","FREQ_GEN"
"1",98,7.86720163637794e-05,0.25
"2",99,1.96680040909448e-05,0
"3",95,0.000629376130910235,0.09375
"4",96,0.000196680040909449,0.1
"5",97,0.000118008024545669,0
"6",92,0.00237982849500433,0.206611570247934
"7",90,0.00507434505546377,0.193798449612403
"8",93,0.00155377232318464,0.215189873417722
"9",88,0.0129415466918417,0.229483282674772
"10",91,0.0036385807568248,0.178378378378378
"11",85,0.0266894815514122,0.24834193072955
"12",89,0.00769018959955944,0.230179028132992
"13",65,0.019628668082763,0.412825651302605
"14",86,0.0211234363936748,0.237430167597765
"15",77,0.0616591928251121,0.301754385964912
"16",66,0.0234835968845882,0.3785594639866
"17",80,0.0575092439619227,0.282147742818057
"18",67,0.0258437573755015,0.355403348554033
"19",74,0.0530446070332783,0.32146829810901
"20",78,0.0610298166942019,0.28681920721882
"21",84,0.0357957674455196,0.262637362637363
"22",94,0.00125875226182047,0.1875
"23",87,0.0160884273463929,0.21760391198044
"24",73,0.0529462670128235,0.333580980683507
"25",72,0.0466525057037212,0.340219224283305
"26",79,0.0601447565101094,0.284172661870504
"27",82,0.0483242860514515,0.262108262108262
"28",71,0.0429745889387145,0.332723112128146
"29",75,0.0574502399496499,0.31153714481342
"30",70,0.0367791676500669,0.337967914438503
"31",83,0.0428172449059869,0.266421681212678
"32",81,0.0523758948941861,0.264363499812242
"33",76,0.0589450082605617,0.302302302302302
"34",69,0.0337306270159704,0.359766763848397
"35",68,0.0293839981118716,0.353413654618474
